,LocationID,Borough,Zone,lat,lng
0,1,EWR,Newark Airport,40.6895314,-74.1744624
1,2,Queens,Jamaica Bay,40.6056632,-73.8713099
2,3,Bronx,Allerton/Pelham Gardens,40.8652393,-73.84682699999999
3,4,Manhattan,Alphabet City,40.7258428,-73.9774916
4,5,Staten Island,Arden Heights,40.556413,-74.1735044
5,6,Staten Island,Arrochar/Fort Wadsworth,40.6012117,-74.0579185
6,7,Queens,Astoria,40.7643574,-73.92346189999999
7,8,Queens,Astoria Park,40.7792459,-73.9229654
8,9,Queens,Auburndale,40.7577672,-73.78339609999999
9,10,Queens,Baisley Park,40.6737751,-73.786025
10,11,Brooklyn,Bath Beach,40.6038852,-74.0062078
11,12,Manhattan,Battery Park,40.7032775,-74.0170279
12,13,Manhattan,Battery Park City,40.7115786,-74.0158441
13,14,Brooklyn,Bay Ridge,40.6263732,-74.0298767
14,15,Queens,Bay Terrace/Fort Totten,40.7922167,-73.7760641
15,16,Queens,Bayside,40.7585569,-73.7654367
16,17,Brooklyn,Bedford,40.6872176,-73.9417735
17,18,Bronx,Bedford Park,40.8700999,-73.8856912
18,19,Queens,Bellerose,40.7361769,-73.7137365
19,20,Bronx,Belmont,40.8534507,-73.88936819999999
20,21,Brooklyn,Bensonhurst East,40.6139307,-73.9921833
21,22,Brooklyn,Bensonhurst West,40.6139307,-73.9921833
22,23,Staten Island,Bloomfield/Emerson Hill,40.6074525,-74.0963115
23,24,Manhattan,Bloomingdale,40.7988958,-73.9697795
24,25,Brooklyn,Boerum Hill,40.6848689,-73.9844722
25,26,Brooklyn,Borough Park,40.6350319,-73.9921028
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,40.5616379,-73.8953425
27,28,Queens,Briarwood/Jamaica Hills,40.70986,-73.7993324
28,29,Brooklyn,Brighton Beach,40.5780706,-73.9596565
29,30,Queens,Broad Channel,40.6158335,-73.8213213
30,31,Bronx,Bronx Park,40.8608628,-73.8706322
31,32,Bronx,Bronxdale,40.8506558,-73.86652409999999
32,33,Brooklyn,Brooklyn Heights,40.6959294,-73.9955523
33,34,Brooklyn,Brooklyn Navy Yard,40.6991765,-73.97158379999999
34,35,Brooklyn,Brownsville,40.665214,-73.9125304
35,36,Brooklyn,Bushwick North,40.6957755,-73.9170604
36,37,Brooklyn,Bushwick South,40.6957755,-73.9170604
37,38,Queens,Cambria Heights,40.692158,-73.7330753
38,39,Brooklyn,Canarsie,40.6402325,-73.9060579
39,40,Brooklyn,Carroll Gardens,40.6795331,-73.9991637
40,41,Manhattan,Central Harlem,40.8089419,-73.9482305
41,42,Manhattan,Central Harlem North,40.8089419,-73.9482305
42,43,Manhattan,Central Park,40.7828647,-73.9653551
43,44,Staten Island,Charleston/Tottenville,40.53684200000001,-74.2381599
44,45,Manhattan,Chinatown,40.7157509,-73.9970307
45,46,Bronx,City Island,40.8468202,-73.7874983
46,47,Bronx,Claremont/Bathgate,40.84128339999999,-73.9001573
47,48,Manhattan,Clinton East,40.721264,-73.9838497
48,49,Brooklyn,Clinton Hill,40.6896834,-73.9661144
49,50,Manhattan,Clinton West,40.7628038,-73.9940677
50,51,Bronx,Co-Op City,40.8738889,-73.82944440000001
51,52,Brooklyn,Cobble Hill,40.686536,-73.9962255
52,53,Queens,College Point,40.786395,-73.8389657
53,54,Brooklyn,Columbia Street,40.6873691,-74.0021019
54,55,Brooklyn,Coney Island,40.5755438,-73.9707016
55,56,Queens,Corona,40.7449859,-73.8642613
56,57,Queens,Corona,40.7449859,-73.8642613
57,58,Bronx,Country Club,40.8391667,-73.8197222
58,59,Bronx,Crotona Park,40.8400367,-73.8953489
59,60,Bronx,Crotona Park East,40.8365344,-73.8933509
60,61,Brooklyn,Crown Heights North,40.6694022,-73.9422324
61,62,Brooklyn,Crown Heights South,40.6694022,-73.9422324
62,63,Brooklyn,Cypress Hills,40.6836118,-73.8801301
63,64,Queens,Douglaston,40.76401509999999,-73.7433727
64,65,Brooklyn,Downtown Brooklyn/MetroTech,40.6930987,-73.98566339999999
65,66,Brooklyn,DUMBO/Vinegar Hill,40.702755,-73.9812884
66,67,Brooklyn,Dyker Heights,40.6214932,-74.00958399999999
67,68,Manhattan,East Chelsea,40.7465004,-74.00137370000002
68,69,Bronx,East Concourse/Concourse Village,40.8250748,-73.9214337
69,70,Queens,East Elmhurst,40.7737505,-73.8713099
70,71,Brooklyn,East Flatbush/Farragut,40.6374022,-73.9298718
71,72,Brooklyn,East Flatbush/Remsen Village,40.658364,-73.92525599999999
72,73,Queens,East Flushing,40.7540534,-73.8086418
73,74,Manhattan,East Harlem North,40.7957399,-73.93892129999999
74,75,Manhattan,East Harlem South,40.7957399,-73.93892129999999
75,76,Brooklyn,East New York,40.6590529,-73.8759245
76,77,Brooklyn,East New York/Pennsylvania Avenue,40.6566541,-73.8890955
77,78,Bronx,East Tremont,40.8453781,-73.8909693
78,79,Manhattan,East Village,40.7264773,-73.98153370000001
79,80,Brooklyn,East Williamsburg,40.7141953,-73.9316461
80,81,Bronx,Eastchester,40.88332399999999,-73.8272029
81,82,Queens,Elmhurst,40.737975,-73.8801301
82,83,Queens,Elmhurst/Maspeth,40.7304619,-73.88707289999999
83,84,Staten Island,Eltingville/Annadale/Prince's Bay,40.5394463,-74.156292
84,85,Brooklyn,Erasmus,40.6496713,-73.9523791
85,86,Queens,Far Rockaway,40.5998931,-73.74484369999999
86,87,Manhattan,Financial District North,40.7077143,-74.00827869999999
87,88,Manhattan,Financial District South,40.70435730000001,-74.0060996
88,89,Brooklyn,Flatbush/Ditmas Park,40.6414876,-73.9593998
89,90,Manhattan,Flatiron,40.740083,-73.9903489
90,91,Brooklyn,Flatlands,40.6232714,-73.9321664
91,92,Queens,Flushing,40.7674987,-73.833079
92,93,Queens,Flushing Meadows-Corona Park,40.73971359999999,-73.840785
93,94,Bronx,Fordham South,40.8592667,-73.8984694
94,95,Queens,Forest Hills,40.718106,-73.8448469
95,96,Queens,Forest Park/Highland Park,40.6960418,-73.8663024
96,97,Brooklyn,Fort Greene,40.6920638,-73.97418739999999
97,98,Queens,Fresh Meadows,40.7335179,-73.7801447
98,99,Staten Island,Freshkills Park,40.5772365,-74.1858183
99,100,Manhattan,Garment District,40.7547072,-73.9916342
100,101,Queens,Glen Oaks,40.7471504,-73.7118223
101,102,Queens,Glendale,40.7016662,-73.8842219
102,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6892494,-74.04450039999999
103,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6892494,-74.04450039999999
104,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6892494,-74.04450039999999
105,106,Brooklyn,Gowanus,40.6751161,-73.9879753
106,107,Manhattan,Gramercy,40.7367783,-73.9844722
107,108,Brooklyn,Gravesend,40.5918636,-73.9768653
108,109,Staten Island,Great Kills,40.5543273,-74.156292
109,110,Staten Island,Great Kills Park,40.54875740000001,-74.1268624
110,111,Brooklyn,Green-Wood Cemetery,40.6579777,-73.9940634
111,112,Brooklyn,Greenpoint,40.7304701,-73.95150319999999
112,113,Manhattan,Greenwich Village North,40.7335719,-74.0027418
113,114,Manhattan,Greenwich Village South,40.7335719,-74.0027418
114,115,Staten Island,Grymes Hill/Clifton,40.6189726,-74.0784785
115,116,Manhattan,Hamilton Heights,40.8252793,-73.94761390000001
116,117,Queens,Hammels/Arverne,40.5899101,-73.8063823
117,118,Staten Island,Heartland Village/Todt Hill,40.5908869,-74.1585424
118,119,Bronx,Highbridge,40.836916,-73.9271294
119,120,Manhattan,Highbridge Park,40.8537599,-73.9257492
120,121,Queens,Hillcrest/Pomonok,40.7229706,-73.8001762
121,122,Queens,Hollis,40.7112203,-73.762495
122,123,Brooklyn,Homecrest,40.6004787,-73.9565551
123,124,Queens,Howard Beach,40.6571222,-73.8429989
124,125,Manhattan,Hudson Sq,40.7265834,-74.0074731
125,126,Bronx,Hunts Point,40.8094385,-73.8803315
126,127,Manhattan,Inwood,40.8677145,-73.9212019
127,128,Manhattan,Inwood Hill Park,40.8722007,-73.9255549
128,129,Queens,Jackson Heights,40.7556818,-73.8830701
129,130,Queens,Jamaica,40.702677,-73.7889689
130,131,Queens,Jamaica Estates,40.7195911,-73.7850426
131,132,Queens,JFK Airport,40.6413111,-73.77813909999999
132,133,Brooklyn,Kensington,40.63852019999999,-73.97318729999999
133,134,Queens,Kew Gardens,40.705695,-73.8272029
134,135,Queens,Kew Gardens Hills,40.73844709999999,-73.8104048
135,136,Bronx,Kingsbridge Heights,40.8711235,-73.8976328
136,137,Manhattan,Kips Bay,40.74232920000001,-73.9800645
137,138,Queens,LaGuardia Airport,40.7769271,-73.8739659
138,139,Queens,Laurelton,40.67764,-73.7447853
139,140,Manhattan,Lenox Hill East,40.7662315,-73.9602312
140,141,Manhattan,Lenox Hill West,40.7662315,-73.9602312
141,142,Manhattan,Lincoln Square East,40.772627,-73.9823131
142,143,Manhattan,Lincoln Square West,40.7741769,-73.98491179999999
143,144,Manhattan,Little Italy/NoLiTa,40.7205409,-73.9966188
144,145,Queens,Long Island City/Hunters Point,40.7485587,-73.94964639999999
145,146,Queens,Long Island City/Queens Plaza,40.7509846,-73.9402762
146,147,Bronx,Longwood,40.8248438,-73.8915875
147,148,Manhattan,Lower East Side,40.715033,-73.9842724
148,149,Brooklyn,Madison,40.60688529999999,-73.947958
149,150,Brooklyn,Manhattan Beach,40.57815799999999,-73.93892129999999
150,151,Manhattan,Manhattan Valley,40.7966989,-73.9684247
151,152,Manhattan,Manhattanville,40.8169443,-73.9558333
152,153,Manhattan,Marble Hill,40.8761173,-73.9102628
153,154,Brooklyn,Marine Park/Floyd Bennett Field,40.5910174,-73.89060909999999
154,155,Brooklyn,Marine Park/Mill Basin,40.6120025,-73.9403834
155,156,Staten Island,Mariners Harbor,40.63677010000001,-74.1587547
156,157,Queens,Maspeth,40.7294018,-73.9065883
157,158,Manhattan,Meatpacking/West Village West,40.7409865,-74.0076108
158,159,Bronx,Melrose South,40.81767000000001,-73.91842609999999
159,160,Queens,Middle Village,40.717372,-73.87425
160,161,Manhattan,Midtown Center,40.757996,-73.999079
161,162,Manhattan,Midtown East,40.7571432,-73.9718815
162,163,Manhattan,Midtown North,40.7649516,-73.9851039
163,164,Manhattan,Midtown South,40.7521795,-73.9875438
164,165,Brooklyn,Midwood,40.6204388,-73.95997779999999
165,166,Manhattan,Morningside Heights,40.8089564,-73.96243270000001
166,167,Bronx,Morrisania/Melrose,40.824545,-73.9104143
167,168,Bronx,Mott Haven/Port Morris,40.8022025,-73.9166051
168,169,Bronx,Mount Hope,40.8488863,-73.9051185
169,170,Manhattan,Murray Hill,40.7478792,-73.9756567
170,171,Queens,Murray Hill-Queens,40.7634996,-73.8073261
171,172,Staten Island,New Dorp/Midland Beach,40.5739937,-74.1159755
172,173,Queens,North Corona,40.7543725,-73.8669188
173,174,Bronx,Norwood,40.8810341,-73.878486
174,175,Queens,Oakland Gardens,40.7408584,-73.758241
175,176,Staten Island,Oakwood,40.563994,-74.1159754
176,177,Brooklyn,Ocean Hill,40.6782737,-73.9108212
177,178,Brooklyn,Ocean Parkway South,40.61287799999999,-73.96838620000001
178,179,Queens,Old Astoria,40.770112,-73.9096452
179,180,Queens,Ozone Park,40.6794072,-73.8507279
180,181,Brooklyn,Park Slope,40.6710672,-73.98142279999999
181,182,Bronx,Parkchester,40.8382522,-73.8566087
182,183,Bronx,Pelham Bay,40.8505556,-73.83333329999999
183,184,Bronx,Pelham Bay Park,40.8654997,-73.8091736
184,185,Bronx,Pelham Parkway,40.8553279,-73.8639594
185,186,Manhattan,Penn Station/Madison Sq West,40.7426745,-73.98935399999999
186,187,Staten Island,Port Richmond,40.63549140000001,-74.1254641
187,188,Brooklyn,Prospect-Lefferts Gardens,40.6592355,-73.9533895
188,189,Brooklyn,Prospect Heights,40.6774196,-73.9668408
189,190,Brooklyn,Prospect Park,40.6602037,-73.9689558
190,191,Queens,Queens Village,40.7156628,-73.7419017
191,192,Queens,Queensboro Hill,40.7429509,-73.8251868
192,193,Queens,Queensbridge/Ravenswood,40.7556711,-73.9456723
193,194,Manhattan,Randalls Island,40.7932271,-73.92128579999999
194,195,Brooklyn,Red Hook,40.6733676,-74.00831889999999
195,196,Queens,Rego Park,40.72557219999999,-73.8624893
196,197,Queens,Richmond Hill,40.6958108,-73.8272029
197,198,Queens,Ridgewood,40.7043986,-73.9018292
198,199,Bronx,Rikers Island,40.79312770000001,-73.88601
199,200,Bronx,Riverdale/North Riverdale/Fieldston,40.8879311,-73.9078712
200,201,Queens,Rockaway Park,40.57978629999999,-73.8372237
201,202,Manhattan,Roosevelt Island,40.76050310000001,-73.9509934
202,203,Queens,Rosedale,40.6584068,-73.7389596
203,204,Staten Island,Rossville/Woodrow,40.5434385,-74.19764409999999
204,205,Queens,Saint Albans,40.6895283,-73.76436880000001
205,206,Staten Island,Saint George/New Brighton,40.6458363,-74.0861345
206,207,Queens,Saint Michaels Cemetery/Woodside,40.7646761,-73.89850419999999
207,208,Bronx,Schuylerville/Edgewater Park,40.83665389999999,-73.83378909999999
208,209,Manhattan,Seaport,40.70722629999999,-74.0027431
209,210,Brooklyn,Sheepshead Bay,40.5953955,-73.94575379999999
210,211,Manhattan,SoHo,40.723301,-74.0029883
211,212,Bronx,Soundview/Bruckner,40.8244607,-73.8704334
212,213,Bronx,Soundview/Castle Hill,40.8176831,-73.8507279
213,214,Staten Island,South Beach/Dongan Hills,40.5819188,-74.0804776
214,215,Queens,South Jamaica,40.6808594,-73.7919103
215,216,Queens,South Ozone Park,40.6764003,-73.8124984
216,217,Brooklyn,South Williamsburg,40.7043921,-73.9565551
217,218,Queens,Springfield Gardens North,40.6715916,-73.779798
218,219,Queens,Springfield Gardens South,40.6715916,-73.779798
219,220,Bronx,Spuyten Duyvil/Kingsbridge,40.8794197,-73.9074286
220,221,Staten Island,Stapleton,40.6264929,-74.07764139999999
221,222,Brooklyn,Starrett City,40.6484272,-73.88236119999999
222,223,Queens,Steinway,40.7745459,-73.9037477
223,224,Manhattan,Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
224,225,Brooklyn,Stuyvesant Heights,40.6824166,-73.9319933
225,226,Queens,Sunnyside,40.7432759,-73.9196324
226,227,Brooklyn,Sunset Park East,40.65272,-74.00933479999999
227,228,Brooklyn,Sunset Park West,40.65272,-74.00933479999999
228,229,Manhattan,Sutton Place/Turtle Bay North,40.7580446,-73.960208
229,230,Manhattan,Times Sq/Theatre District,40.7579747,-73.9855426
230,231,Manhattan,TriBeCa/Civic Center,40.7120742,-74.0058985
231,232,Manhattan,Two Bridges/Seward Park,40.7149056,-73.98924699999999
232,233,Manhattan,UN/Turtle Bay South,40.7488758,-73.9680091
233,234,Manhattan,Union Sq,40.7358633,-73.9910835
234,235,Bronx,University Heights/Morris Heights,40.8543673,-73.9130236
235,236,Manhattan,Upper East Side North,40.7735649,-73.9565551
236,237,Manhattan,Upper East Side South,40.7735649,-73.9565551
237,238,Manhattan,Upper West Side North,40.7870106,-73.9753676
238,239,Manhattan,Upper West Side South,40.7870106,-73.9753676
239,240,Bronx,Van Cortlandt Park,40.8964243,-73.8852842
240,241,Bronx,Van Cortlandt Village,40.8964243,-73.8852842
241,242,Bronx,Van Nest/Morris Park,40.8415796,-73.8706949
242,243,Manhattan,Washington Heights North,40.8461314,-73.9373049
243,244,Manhattan,Washington Heights South,40.8417082,-73.9393554
244,245,Staten Island,West Brighton,40.6270298,-74.10931409999999
245,246,Manhattan,West Chelsea/Hudson Yards,40.7527246,-74.0016428
246,247,Bronx,West Concourse,40.8316761,-73.9227554
247,248,Bronx,West Farms/Bronx River,40.8430609,-73.8816001
248,249,Manhattan,West Village,40.73468,-74.0047554
249,250,Bronx,Westchester Village/Unionport,40.8340447,-73.8531349
250,251,Staten Island,Westerleigh,40.621215,-74.1318094
251,252,Queens,Whitestone,40.7920449,-73.8095574
252,253,Queens,Willets Point,40.7606911,-73.840436
253,254,Bronx,Williamsbridge/Olinville,40.8550982,-73.85510719999999
254,255,Brooklyn,Williamsburg (North Side),40.7149187,-73.95286709999999
255,256,Brooklyn,Williamsburg (South Side),40.7111677,-73.9593708
256,257,Brooklyn,Windsor Terrace,40.6539346,-73.9756567
257,258,Queens,Woodhaven,40.6901366,-73.8566087
258,259,Bronx,Woodlawn/Wakefield,40.8955885,-73.8627133
259,260,Queens,Woodside,40.7532952,-73.9068973
260,261,Manhattan,World Trade Center,40.7118011,-74.0131196
261,262,Manhattan,Yorkville East,40.7702799,-73.9507983
262,263,Manhattan,Yorkville West,40.7762231,-73.94920789999999
263,264,Unknown,Unknown,36.3114126,-95.61362369999999
264,265,Unknown,Unknown,36.3114126,-95.61362369999999
